time,quote_volume,base_volume,close,high,low,open,symbol,tradecount
2021-05-02 03:00:00,86883739.607818,54958055.78,1.5539,1.6284,1.537,1.6259,XRP/USDT,80396
2021-05-02 02:00:00,29422128.307008,18065587.48,1.6257,1.637,1.619,1.6193,XRP/USDT,24703
2021-05-02 01:00:00,32930782.6538,20405583.31,1.6194,1.6229,1.5986,1.6124,XRP/USDT,30845
2021-05-02 00:00:00,80855969.39913,49822668.37,1.6122,1.658,1.597,1.651,XRP/USDT,73950
2021-05-01 23:00:00,54004641.657123,32701279.48,1.651,1.6605,1.6426,1.6589,XRP/USDT,46546
2021-05-01 22:00:00,93263211.06461,56890496.97,1.659,1.6666,1.612,1.6207,XRP/USDT,78869
2021-05-01 21:00:00,122271939.603706,75313006.15,1.6207,1.6548,1.587,1.595,XRP/USDT,121207
2021-05-01 20:00:00,38447723.65507,24218683.13,1.5949,1.595,1.5777,1.5802,XRP/USDT,31221
2021-05-01 19:00:00,46164901.876897,29208041.7,1.5802,1.5907,1.5665,1.5677,XRP/USDT,42989
2021-05-01 18:00:00,23396828.862068,14941339.82,1.5677,1.5741,1.559,1.5624,XRP/USDT,24278
2021-05-01 17:00:00,35238813.778078,22450135.5,1.5623,1.5774,1.5601,1.5644,XRP/USDT,33215
2021-05-01 16:00:00,31630630.534354,20268734.67,1.5644,1.5686,1.5471,1.5609,XRP/USDT,28728
2021-05-01 15:00:00,36583272.661446,23562015.63,1.5609,1.5645,1.54,1.5565,XRP/USDT,31776
2021-05-01 14:00:00,32017473.749475,20602329.09,1.5565,1.5656,1.5426,1.559,XRP/USDT,30944
2021-05-01 13:00:00,33371181.026026,21381211.93,1.559,1.5689,1.5512,1.5582,XRP/USDT,30618
2021-05-01 12:00:00,34576427.260073,22024092.09,1.5583,1.5796,1.5547,1.5683,XRP/USDT,30393
2021-05-01 11:00:00,35762200.743325,22760441.56,1.5683,1.5809,1.5574,1.5575,XRP/USDT,32847
2021-05-01 10:00:00,31854920.780875,20481935.73,1.5576,1.5666,1.5432,1.551,XRP/USDT,32285
2021-05-01 09:00:00,77026791.395343,49908338.96,1.551,1.56,1.5226,1.5484,XRP/USDT,66109
2021-05-01 08:00:00,49296038.526702,31525532.36,1.5484,1.5733,1.5481,1.5651,XRP/USDT,45825
2021-05-01 07:00:00,40277256.561593,25580737.25,1.565,1.5872,1.563,1.5817,XRP/USDT,40182
2021-05-01 06:00:00,30349342.66163,19117118.97,1.5816,1.5972,1.5786,1.593,XRP/USDT,26940
2021-05-01 05:00:00,29846017.146836,18765584.71,1.5931,1.5994,1.5806,1.5895,XRP/USDT,25395
2021-05-01 04:00:00,38329683.753459,24105932.18,1.5895,1.6031,1.5778,1.5946,XRP/USDT,32600
2021-05-01 03:00:00,30916538.282458,19367600.49,1.5945,1.6098,1.584,1.5985,XRP/USDT,28376
2021-05-01 02:00:00,40981536.846273,25681850.29,1.5985,1.6068,1.5843,1.5923,XRP/USDT,38034
2021-05-01 01:00:00,47060855.833121,29927301.76,1.5925,1.5929,1.5523,1.5781,XRP/USDT,45479
2021-05-01 00:00:00,80788182.31975,50544464.29,1.5782,1.6277,1.5735,1.5989,XRP/USDT,78768
2021-04-30 23:00:00,41538309.0883,26219282.91,1.5988,1.5996,1.5723,1.5758,XRP/USDT,38220
2021-04-30 22:00:00,51572796.843209,32488387.25,1.5757,1.6017,1.5683,1.5882,XRP/USDT,43194
2021-04-30 21:00:00,60580189.855018,38095636.8,1.5882,1.6082,1.5744,1.5758,XRP/USDT,53584
2021-04-30 20:00:00,54463416.089372,34573749.54,1.5757,1.592,1.5595,1.5918,XRP/USDT,46231
2021-04-30 19:00:00,55849331.766597,35469673.62,1.5918,1.5922,1.557,1.564,XRP/USDT,48568
2021-04-30 18:00:00,82196892.265124,52754589.07,1.5641,1.5753,1.5406,1.5712,XRP/USDT,63201
2021-04-30 17:00:00,59219354.59756,37637900.0,1.5712,1.5912,1.5548,1.585,XRP/USDT,56061
2021-04-30 16:00:00,100382852.425634,63008591.23,1.585,1.612,1.5694,1.5695,XRP/USDT,92457
2021-04-30 15:00:00,138560771.488429,88887470.15,1.5693,1.5751,1.5335,1.535,XRP/USDT,100566
2021-04-30 14:00:00,142969206.502088,90447659.46,1.535,1.62,1.5127,1.6031,XRP/USDT,123367
2021-04-30 13:00:00,124571594.106636,77563646.92,1.6031,1.625,1.582,1.6115,XRP/USDT,102562
2021-04-30 12:00:00,247777412.75677,153521952.41,1.6116,1.6397,1.5757,1.5821,XRP/USDT,201253
2021-04-30 11:00:00,91792679.690759,59096237.63,1.5821,1.5826,1.5219,1.5302,XRP/USDT,73916
2021-04-30 10:00:00,68436918.585066,44482974.41,1.5302,1.5505,1.518,1.5181,XRP/USDT,52642
2021-04-30 09:00:00,74680914.16189,48473613.27,1.5182,1.5588,1.5142,1.5433,XRP/USDT,69406
2021-04-30 08:00:00,81735011.984053,52614140.85,1.5434,1.5805,1.5392,1.5715,XRP/USDT,73412
2021-04-30 07:00:00,115135018.102332,73656012.38,1.5712,1.583,1.5422,1.5753,XRP/USDT,96659
2021-04-30 06:00:00,179774057.813813,115747717.49,1.5753,1.5979,1.5106,1.538,XRP/USDT,177016
2021-04-30 05:00:00,245927846.701001,163605254.29,1.538,1.5444,1.434,1.4383,XRP/USDT,232231
2021-04-30 04:00:00,71145759.106224,50065931.76,1.4382,1.443,1.3982,1.3982,XRP/USDT,68264
2021-04-30 03:00:00,30227301.030453,21600381.26,1.3982,1.406,1.391,1.3963,XRP/USDT,26161
2021-04-30 02:00:00,26089628.540583,18745811.89,1.3964,1.3996,1.3842,1.389,XRP/USDT,22023
2021-04-30 01:00:00,26132669.561464,18848965.66,1.389,1.397,1.3745,1.3827,XRP/USDT,24869
2021-04-30 00:00:00,44146888.953616,31788550.77,1.3825,1.4034,1.3756,1.3978,XRP/USDT,44535
2021-04-29 23:00:00,26612694.164388,19109253.67,1.3978,1.4,1.3862,1.3926,XRP/USDT,25671
2021-04-29 22:00:00,25212032.975368,18139105.01,1.3925,1.3944,1.3833,1.3942,XRP/USDT,22475
2021-04-29 21:00:00,28118559.176406,20334145.33,1.3943,1.3948,1.3723,1.379,XRP/USDT,26787
2021-04-29 20:00:00,45360474.47798,33196766.76,1.379,1.3848,1.3421,1.3653,XRP/USDT,44308
2021-04-29 19:00:00,23735511.899423,17384582.8,1.365,1.3704,1.36,1.3639,XRP/USDT,24005
2021-04-29 18:00:00,52280317.972176,38675682.28,1.3639,1.3681,1.3357,1.353,XRP/USDT,48580
2021-04-29 17:00:00,70009740.102769,51330469.79,1.3528,1.3788,1.3503,1.3693,XRP/USDT,61199
2021-04-29 16:00:00,58514857.760994,42081226.17,1.3694,1.4073,1.3687,1.3907,XRP/USDT,54778
2021-04-29 15:00:00,43221898.152136,31219146.83,1.3907,1.3965,1.364,1.3871,XRP/USDT,42597
2021-04-29 14:00:00,37125064.193099,26767248.14,1.3867,1.3933,1.3774,1.3802,XRP/USDT,33440
2021-04-29 13:00:00,56874015.588399,40801812.62,1.3802,1.4141,1.38,1.4131,XRP/USDT,48997
2021-04-29 12:00:00,45154524.894031,32154879.56,1.4132,1.4154,1.397,1.4093,XRP/USDT,38280
2021-04-29 11:00:00,40315959.067319,28659554.76,1.4093,1.4165,1.3985,1.4164,XRP/USDT,38970
2021-04-29 10:00:00,48690511.558212,34640738.39,1.4164,1.42,1.3918,1.3993,XRP/USDT,48479
2021-04-29 09:00:00,50787807.967424,36321138.07,1.3994,1.4078,1.38,1.3926,XRP/USDT,45151
2021-04-29 08:00:00,35579541.012381,25594448.74,1.3926,1.4022,1.3818,1.4017,XRP/USDT,37045
2021-04-29 07:00:00,60553908.994531,43095198.19,1.4015,1.4167,1.3911,1.4022,XRP/USDT,53996
2021-04-29 06:00:00,55926777.601589,40121562.82,1.4022,1.412,1.3781,1.3825,XRP/USDT,55833
2021-04-29 05:00:00,38278544.373772,27885145.64,1.3824,1.3895,1.3516,1.3572,XRP/USDT,33471
2021-04-29 04:00:00,40777853.250401,29891572.16,1.3572,1.3814,1.347,1.3813,XRP/USDT,38821
2021-04-29 03:00:00,49252038.994455,35525603.33,1.3812,1.4033,1.3708,1.4023,XRP/USDT,34938
2021-04-29 02:00:00,89086954.623222,64092846.79,1.4023,1.41,1.37,1.3822,XRP/USDT,69952
2021-04-29 01:00:00,77052439.021862,56679515.75,1.3824,1.3942,1.3263,1.3429,XRP/USDT,67326
2021-04-29 00:00:00,41899570.447702,30923777.48,1.3429,1.3706,1.3401,1.3576,XRP/USDT,36911
2021-04-28 23:00:00,21379151.209812,15730160.01,1.3576,1.3692,1.3452,1.3488,XRP/USDT,21622
2021-04-28 22:00:00,33220850.243144,24506077.81,1.3485,1.3733,1.3432,1.3664,XRP/USDT,30125
2021-04-28 21:00:00,37460370.176474,27646829.99,1.3664,1.375,1.3294,1.342,XRP/USDT,38691
2021-04-28 20:00:00,120828716.318145,88599848.96,1.342,1.4,1.3335,1.3769,XRP/USDT,103573
2021-04-28 19:00:00,39189324.601122,28777269.23,1.3768,1.379,1.3419,1.3564,XRP/USDT,41464
2021-04-28 18:00:00,46708490.551657,34503060.87,1.3563,1.3679,1.3371,1.3382,XRP/USDT,46050
2021-04-28 17:00:00,32177615.741104,24067406.24,1.3383,1.345,1.3266,1.3414,XRP/USDT,31305
2021-04-28 16:00:00,61932176.375121,46518678.82,1.3413,1.3482,1.3101,1.3309,XRP/USDT,58738
2021-04-28 15:00:00,45444043.980966,34099980.23,1.3309,1.344,1.3204,1.3356,XRP/USDT,47016
2021-04-28 14:00:00,67554289.376693,49901227.8,1.3356,1.3669,1.3331,1.3515,XRP/USDT,50653
2021-04-28 13:00:00,47674463.259038,35332554.68,1.3515,1.3684,1.335,1.3645,XRP/USDT,45304
2021-04-28 12:00:00,57894195.368018,42254438.65,1.3644,1.3842,1.3555,1.3657,XRP/USDT,48341
2021-04-28 11:00:00,73280389.586245,53629416.81,1.3656,1.3828,1.3475,1.3484,XRP/USDT,64267
2021-04-28 10:00:00,54143733.961117,40467124.44,1.3484,1.3536,1.3187,1.3276,XRP/USDT,42395
2021-04-28 09:00:00,90494367.39951,68247561.93,1.3277,1.3448,1.3039,1.3307,XRP/USDT,73435
2021-04-28 08:00:00,59633705.109549,44066215.89,1.3306,1.3725,1.3303,1.352,XRP/USDT,48744
2021-04-28 07:00:00,85350129.058788,63114839.18,1.3521,1.3735,1.323,1.3364,XRP/USDT,77422
2021-04-28 06:00:00,167841210.881682,126998007.94,1.3361,1.3668,1.2814,1.3638,XRP/USDT,146969
2021-04-28 05:00:00,72459254.06762,52966943.06,1.3637,1.3983,1.344,1.3872,XRP/USDT,65943
2021-04-28 04:00:00,37453634.122307,26906649.75,1.3876,1.4028,1.3797,1.3817,XRP/USDT,32144
2021-04-28 03:00:00,62748460.603369,44887063.29,1.3818,1.4186,1.3757,1.4113,XRP/USDT,54803
2021-04-28 02:00:00,58006380.64896,40562373.67,1.4113,1.4492,1.4086,1.4278,XRP/USDT,48370
2021-04-28 01:00:00,53120378.672283,37103863.45,1.4279,1.445,1.4105,1.4172,XRP/USDT,48232
2021-04-28 00:00:00,59527783.395971,41991581.47,1.4172,1.43,1.4002,1.4017,XRP/USDT,49458
2021-04-27 23:00:00,40868440.273255,29208272.71,1.4017,1.411,1.3828,1.3965,XRP/USDT,36957
2021-04-27 22:00:00,38602659.254044,27498086.17,1.3964,1.415,1.3904,1.4149,XRP/USDT,35814
2021-04-27 21:00:00,47305722.859731,33485881.79,1.415,1.43,1.3939,1.4175,XRP/USDT,44899
2021-04-27 20:00:00,48990483.648075,35161316.25,1.4175,1.42,1.3731,1.3731,XRP/USDT,46299
2021-04-27 19:00:00,58439962.753611,42586254.4,1.3731,1.392,1.3586,1.3896,XRP/USDT,44426
2021-04-27 18:00:00,56889119.92937,41135623.78,1.3897,1.4048,1.37,1.3808,XRP/USDT,41861
